old_name,canonical_name
"02Jan-31Mar, 01Jul-01Jan 2026 ((Excluding Festive Christmas/New Year)",Salt Lick Safari Lodge
"01Apr-17Apr, 22Apr-30Jun (Excluding Easter Holidays)",Salt Lick Safari Lodge
"02JAN-31MAR, 01JUN-15JUN, 01OCT-22DEC",Kilaguni Serena Safari Lodge
"EASTER PERIOD(03APR-06APR)",Kilaguni Serena Safari Lodge
"01APR-31MAY",Kilaguni Serena Safari Lodge
"16JUN-30SEP",Kilaguni Serena Safari Lodge
"Green Season – 01Apr to 31May",Mara Sopa Lodge
"Mid Season – 02Jan to 31Mar& 01Nov to 21Dec",Mara Sopa Lodge
"Mid Season – 01Jun to 30Jun",Mara Sopa Lodge
"High Season – 01Jul to 31Oct & 22Dec to 01Jan 2026",Mara Sopa Lodge
